SalesID,Employee_ID,CustomerID,ProductID,Quantity,Product_Name,Product_Price,Employee_Name,Employee_Middle,Employee_Lastname,Customer_Name,Customer_Middle,Customer_LastName
167,14,14782,39,543,Thin-Jam Hex Nut 10,,Heather,c,McBadden,Natalie,,Reed
170,20,8482,480,480,"Road-350-W Yellow, 44",1700.99,Dean,t,Straight,Jackson,A,Foster
171,11,264,289,793,"Mountain-200 Black, 46",2294.99,Livia,a,Karsen,Adrienne,L,Jiménez
172,15,10700,107,107ert,Thin-Jam Lock Nut 5,85.6,?,',,Julian,,Jenkins
174,17,13723,226,730,"HL Road Frame - Red, 56",1431.5,?,i,,Mason,M,Cook
175,20,4300,43,43,Thin-Jam Hex Nut 16,72.8,Dean,t,Straight,Cody,,Reed
177,20,9423,183,687,LL Road Rim,306,,,Straight,Jenny,S,Liang
178,1,1,1,-179,Adjustable Race,1.6,,e,,\,,Alexander
181,17,14664,433,937,LL Mountain Tire,24.99,?,i,,Morgan,M,Hill
182,20,5241,250,250,"HL Mountain Frame - Black, 48",1349.6,,,Straight,Deb,,Waldal
183,8,16482,56,560,,$75.40 ,Morningstar,r,Greene,Robin,,Ortega
194,1,1,1,-195,Adjustable Race,1.6,,e,,\,,Alexander
197,17,14664,433,937,LL Mountain Tire,24.99,?,,,Morgan,M,Hill
202,17,10482,500,500,ML Bottom Bracket,101.24,?,,,Joseph,,White
203,22,3664,323,827,LL Road Front Wheel,85.565 Eur,Johnson,h,White,Cedric,W,Ma
204,2,14000,140,140,Lock Ring,829.8,NULL,l,,Melanie,N,Alexander
205,13,5482,450,450,Front Derailleur,91.49,Stearns,a,MacFeather,Devin,,Nelson
206,4,17023,259,763,"Road-450 Red, 58",1457.99,,e,,Samuel,L,Robinson
207,8,7700,77,77,Handlebar Tube,636.8,Morningstar,r,Greene,Hailey,J,Coleman
210,13,1300,13,13,Chain Stays,-64.8,Stearns,a,MacFeather,Andrew,R,Hill
211,18,14241,340,340,,594.83,,,Ringer,Micheal,,Vazquez
215,15,19482,86,590,,0,?,,,Willie,R,Gao
220,15,15300,153,153,Lock Washer 3,0,?,,,Olivia,D,Bennett
227,18,14241,340,340,,594.83 $$,,,Ringer,Micheal,,Vazquez
243,18,14241,340,340,,594.83 $,,,Ringer,Micheal,,Vazquez
250,18,15182,43,547,Thin-Jam Hex Nut 16,72.8,,,Ringer,Noah,,Bryant
253,1,8782,483,483,"Touring-3000 Blue, 44",742.35,,e,,James,,Kumar
263,19,4723,136,640,Lock Nut 15,548.4,,,Smith,Dale,C,
264,1,17664,463,967,"Touring-3000 Blue, 54",742.35,,e,,Shelley,N,
265,4,8241,280,280,"Mountain-100 Black, 38",3374.99,,e,,Isabella,,
266,15,19482,86,590,,0,?,,,Willie,R,
267,6,11264,399,903,Rear Derailleur,121.46,Ann,u,Dull,Kathleen,A,
268,10,1941,217,217,AWC Logo Cap,8.99,Sheryl,u,Hunter,Austin,,
269,1,13482,26,530,Flat Washer 4,0,,e,,Mario,H,
270,,4964,336,840,"ML Mountain Frame - Black, 44",348.76,Charlene,o,Locksley,Danny,J,
271,15,15300,153,153,Lock Washer 3,0,?,,,Olivia,D,
272,7,7182,467,467,"Touring-3000 Yellow, 50",742.35,,r,Green,Gabrielle,,
273,11,264,289,793,"Mountain-200 Black, 46",2294.99,Livia,a,Karsen,Adrienne,L,
274,15,10700,107,107,Thin-Jam Lock Nut 5,85.6,?,,,Julian,,
275,6,2482,420,420,ML Touring Seat/Saddle,39.14,Ann,u,Dull,Brandon,,
276,17,13723,226,730,"HL Road Frame - Red, 56",1431.5,?,,,Mason,M,
277,20,4300,43,43,Thin-Jam Hex Nut 16,72.8,,,Straight,Cody,,
278,,15941,357,357,"Women's Tights, S",74.99,Charlene,o,Locksley,Randall,A,
279,3,7723,166,670,Metal Sheet 6,389.6,,,,Hailey,R,
280,14,18964,476,980,"Touring-2000 Blue, 50",1214.85,Heather,c,McBadden,Troy,,
281,17,9541,293,293,"Mountain-300 Black, 48",1079.99,?,,,Jermaine,J,
282,9,1423,103,607,Thin-Jam Lock Nut 1,169.6,Burt,r,Gringlesby,Angelica,,
283,1,12964,416,920,LL Road Seat/Saddle,27.12,Abraham,e,,Mackenzie,M,Ramirez
284,1,3241,230,230,"LL Road Frame - Red, 44",337.22,Abraham,e,,Carla,J,Gonzalez
288,20,8482,480,480,"Road-350-W Yellow, 44",1700.99,,,Straight,Jackson,A,Foster
290,15,10700,107,107,Thin-Jam Lock Nut 5,85.6,?,,,Julian,,Jenkins
292,17,13723,226,730,"HL Road Frame - Red, 56",1431.5,?,,,Mason,M,Cook
293,20,4300,43,43,Thin-Jam Hex Nut 16,72.8,,,Straight,Cody,,Reed
297,17,9541,293,293,"Mountain-300 Black, 48",1079.99 $$,Albert,,,Jermaine,J,Perez
306,1,12964,416,920,LL Road Seat/Saddle,27.12,Abraham,e,Bennet,Mackenzie,M,Ramirez
309,13,9664,383,887,Fender Set - Mountain,21.98,Stearns,a,MacFeather,Jessica,,Rodriguez
310,16,241,200,200,Spokes,843.2,Sylvia,,,Adriana,,Vance
321,19,4723,136,640,Lock Nut 15,548.4,,,Smith,Dale,C,Holt
323,10,6541,263,263,"Road-450 Red, 52",1457.99,Sheryl,u,Hunter,Erik,S,Gutierrez
325,16,9964,386,890,"Short-Sleeve Classic Jersey, S",53.99,Sylvia,a,,Joe,,Gutierrez
326,16,241,200,200,Spokes,843.2,Sylvia,a,,Adriana,,Vance
338,,17664,463,967,"Touring-3000 Blue, 54",742.35 EUR,Abraham,e,Bennet,Shelley,N,Dyck
340,15,19482,86,590ss,,0,Michael,',,Willie,R,Gao
342,10,1941,217,217,AWC Logo Cap,8.99$,Sheryl,u,Hunter,Austin,,Zhang
345,15,15300,153,153,Lock Washer 3,0,Michael,',,Olivia,D,Bennett
352,18,14241,340,340,"ML Road Frame-W - Yellow, 44",594.83,,,Ringer,Micheal,,Vazquez
404,15,19482,86,590ss,,0,Michael,',O'Leary,Willie,R,Gao
418,1,1,1,-11,Adjustable Race,1.6,,e,Bennet,\,,Alexander
419,11,11241,310,310,LL Headset,34.2 R.s,Livia,a,Karsen,Katherine,R,Cook
430,11,264,289,793,,2294.99,Livia,a,Karsen,Adrienne,L,Jiménez
431,15,10700,107,107,Thin-Jam Lock Nut 5,85.6,Michael,',O'Leary,Julian,,Jenkins
433,17,13723,226,730,"HL Road Frame - Red, 56",1431.5,Albert,i,Ringer,Mason,M,Cook
435,12,15941,357,357,"Women's Tights, S",74.99,Charlene,o,Locksley,Randall,A,Ruiz
437,1,1,1,-11,Adjustable Race,1.6,Abraham,e,Bennet,\,,Alexander
442,8,16482,56,560,Hex Nut 16,75.4,Morningstar,r,Greene,Robin,,Ortega
458,15,19482,86,590ss,External Lock Washer 7,0,Michael,',O'Leary,Willie,R,Gao
466,21,9000,90,90,External Lock Washer 2,0,Dirk,t,Stringer,Jared,A,Gray
467,12,782,403,403,"LL Touring Frame - Blue, 62",333.42 $$,,o,Locksley,Alicia,A,Chapman
472,,17664,463,967,"Touring-3000 Blue, 54",742.35,Abraham,e,Bennet,Shelley,N,Dyck
478,12,4964,336,840,"ML Mountain Frame - Black, 44",348.76,,o,Locksley,Danny,J,Vazquez
496,1,1,1,11,,0,Abraham,e,Bennet,\,,Alexander
499,1,4700,47,47,Thin-Jam Hex Nut 4,441.6,Abraham,e,Bennet,Dakota,A,Russell
517,12,15941,357,357,"Women's Tights, S",74.99,,o,Locksley,Randall,A,Ruiz
522,1,4182,437,437,ML Road Tire,24.99,,e,Bennet,Clarence,L,Zeng
525,1,8782,483,483,"Touring-3000 Blue, 44",742.35,Abraham,e,Bennet,James,,Kumar
541,20,14023,229,733,"LL Road Frame - Black, 62",337.22,,,Straight,Melinda,T,Jimenez
545,15,664,293,797,"Mountain-300 Black, 48",1079.99,Michael,',O'Leary,,F,Peterson
557,17,19264,479,983,"Road-350-W Yellow, 42",1700.99,Albert,i,Ringer,Walter,,Jimenez
561,,4700,47,47,Thin-Jam Hex Nut 4,441.6,Abraham,e,Bennet,Dakota,A,Russell
565,15,10700,107,107##$$$,Thin-Jam Lock Nut 5,85.6,Michael,',O'Leary,Julian,,Jenkins
576,4,8241,280,280,"Mountain-100 Black, 38",3374.99,,e,,,,Mitchell
586,1,4182,437,437,ML Road Tire,24.99,Abraham,e,,Clarence,L,Zeng
622,1,1,1,11,Adjustable Race,1.6,Abraham,e,Bennet,\,,Alexander
625,1,4700,47,47,Thin-Jam Hex Nut 4,441.6,,e,Bennet,Dakota,A,Russell
673,15,664,293,797,"Mountain-300 Black, 48",1079.99 $$,Michael,',O'Leary,,F,Peterson
684,1,17664,463,967,"Touring-3000 Blue, 54",742.35,Abraham,,Bennet,Shelley,N,Dyck
750,1,1,1,11,Adjustable Race,1.6$,Abraham,e,Bennet,\,,
760,15,15300,153,153,Lock Washer 3,0,,',O'Leary,Olivia,D,Bennett
763,16,241,200,200,Spokes,843.2,,a,Panteley,Adriana,,Vance
778,,4182,437,437,ML Road Tire,24.99,Abraham,e,Bennet,Clarence,L,Zeng
782,17,10482,500,500,ML Bottom Bracket,101.24,,i,Ringer,Joseph,,White
788,15,19482,86,590ss,External Lock Washer 7,0,,',O'Leary,Willie,R,Gao
801,15,664,293,797,"Mountain-300 Black, 48",1079.99 $$,,',O'Leary,,F,Peterson
807,16,9964,386,890,"Short-Sleeve Classic Jersey, S",53.99,,a,Panteley,Joe,,Gutierrez
810,17,14664,433,937,LL Mountain Tire,24.99,,i,Ringer,Morgan,M,Hill
813,17,19264,479,983,"Road-350-W Yellow, 42",1700.99,,i,Ringer,Walter,,Jimenez
814,1,1,1,11,Adjustable Race,1.6,Abraham,e,Bennet,\,,
815,13,1300,13,13--,Chain Stays,64.8,Stearns,a,MacFeather,Andrew,R,Hill
821,15,10700,107,107,Thin-Jam Lock Nut 5,85.6,,',O'Leary,Julian,,Jenkins
835,5,12941,327,327DF,"ML Road Frame-W - Yellow, 38",$594.83 ,Innes,e,del Castillo,Mackenzie,A,Adams
836,18,14241,340,,"ML Road Frame-W - Yellow, 44",594.83,,,Ringer,Micheal,,Vazquez
871,1,4700,47,47,Thin-Jam Hex Nut 4,441.6,Abraham,e,,Dakota,A,Russell
875,15,10700,107,107jki,Thin-Jam Lock Nut 5,85.6,,',O'Leary,Julian,,Jenkins
881,16,241,200,200,Spokes,843.2,,a,,,,
927,,12964,416,920,LL Road Seat/Saddle,27.12,Abraham,e,Bennet,Mackenzie,M,Ramirez
935,1,4700,47,47,Thin-Jam Hex Nut 4,441.6,Abraham,,Bennet,Dakota,A,Russell
966,1,13482,26,530,Flat Washer 4,0,,e,Bennet,Mario,H,Rai
996,,1,1,11,Adjustable Race,1.6,Abraham,e,Bennet,\,,
1034,15,19482,86,590,External Lock Washer 7,0,,',O'Leary,Willie,R,Gao
1072,3,18700,187,187,LL Mountain Seat Assembly,133.34,Cheryl,,,Timothy,L,Sanders
1075,3,3541,233,233,"LL Road Frame - Red, 58",337.22,Cheryl,,,Cassandra,D,Madan
1095,8,16482,56,560,Hex Nut 16,$75.40 ,Morningstar,r,Greene,Robin,,Ortega
1102,3,7723,166,670,Metal Sheet 6,389.6,Cheryl,,,Hailey,R,Rivera
1123,1,1,1,11,Adjustable Race,1.6,,e,Bennet,\,,
1190,15,10700,107,107??dd,Thin-Jam Lock Nut 5,85.6,,',O'Leary,Julian,,Jenkins
1196,16,241,200,200bF?,Spokes,843.2,,a,,,,
1204,18,14241,340,340,"ML Road Frame-W - Yellow, 44",594.83 $,,,Ringer,Micheal,,Vazquez
1249,,4700,47,47,Thin-Jam Hex Nut 4,441.6,Abraham,e,,Dakota,A,Russell
1277,,8782,483,483,"Touring-3000 Blue, 44",742.35,Abraham,e,Bennet,James,,Kumar
1431,1,12964,416,920,LL Road Seat/Saddle,27.12,Abraham,,Bennet,Mackenzie,M,Ramirez
1470,,13482,26,530,Flat Washer 4,0,Abraham,e,Bennet,Mario,H,Rai
1501,13,1300,13,13tt,Chain Stays,64.8,Stearns,a,MacFeather,Andrew,R,Hill
1503,1,4700,47,DF47,Thin-Jam Hex Nut 4,441.6,Abraham,e,,Dakota,A,Russell
1506,21,9000,90,90,External Lock Washer 2,0,Dirk,t,Stringer,,,
1518,4,8241,280,280,"Mountain-100 Black, 38",3374.99,,e,,,,
1521,5,12941,327,327%%,"ML Road Frame-W - Yellow, 38",594.83,Innes,e,del Castillo,Mackenzie,A,Adams
1536,8,16482,56,560,Hex Nut 16,75.4,Morningstar,r,Greene,,,
1538,15,19482,86,590,External Lock Washer 7,0,,',O'Leary,,,
1551,15,664,293,797,"Mountain-300 Black, 48",1079.99 $$,,',O'Leary,,,
1562,,17664,463,967,"Touring-3000 Blue, 54",742.35,,e,Bennet,Shelley,N,Dyck
1598,,13482,26,530,Flat Washer 4,0,Abraham,,Bennet,Mario,H,Rai
1611,20,14023,229,733,"LL Road Frame - Black, 62",337.22,,,,Melinda,T,Jimenez
1631,,4700,47,47,Thin-Jam Hex Nut 4,441.6,,e,Bennet,Dakota,A,Russell
1644,20,5241,250,250,"HL Mountain Frame - Black, 48",1349.6,,,,Deb,,Waldal
1650,18,14241,340,340,"ML Road Frame-W - Yellow, 44",594.83,,,,Micheal,,Vazquez
1663,18,15182,43,547,Thin-Jam Hex Nut 16,72.8,,,,Noah,,Bryant
1669,19,4723,136,640,Lock Nut 15,548.4,,,,Dale,C,Holt
1672,20,9423,183,687,LL Road Rim,306,,,,Jenny,S,Liang
1692,1,1,1,11,Adjustable Race,1.6,Abraham,e,,\,,
1693,13,1300,13,1SD3,Chain Stays,64.8,Stearns,a,MacFeather,Andrew,R,Hill
1697,8,7700,77,77|}{PP,Handlebar Tube,636.8,Morningstar,r,Greene,Hailey,J,Coleman
1723,1,8782,483,483,"Touring-3000 Blue, 44",742.35,Abraham,e,,James,,Kumar
1726,1,13482,26,530,Flat Washer 4,0,Abraham,e,,Mario,H,Rai
1741,4,17023,259,763,"Road-450 Red, 58",1457.99$,,e,,Samuel,L,Robinson
1744,5,1964,306,810,"Road-550-W Yellow, 48",1120.49$,Innes,e,del Castillo,Austin,M,Jai
1778,18,14241,340,340,,594.83,,,,Micheal,,Vazquez
1823,1,4700,47,47,Thin-Jam Hex Nut 4,441.6 rs,Abraham,e,,Dakota,A,Russell
1832,3,18700,187,187,LL Mountain Seat Assembly,133.34,Cheryl,a,,Timothy,L,Sanders
1835,3,3541,233,233,"LL Road Frame - Red, 58",337.22,Cheryl,a,,Cassandra,D,Madan
1841,5,12941,327,327,"ML Road Frame-W - Yellow, 38",594.83 $,Innes,e,del Castillo,Mackenzie,A,Adams
1863,3,7723,166,670,Metal Sheet 6,389.6,Cheryl,a,,Hailey,R,Rivera
1925,19,4723,136,640,Lock Nut 15,548.4,Meander,,,Dale,C,Holt
1928,20,9423,183,687,LL Road Rim,306,Dean,,,Jenny,S,Liang
1931,20,14023,229,733,"LL Road Frame - Black, 62",337.22,Dean,,,Melinda,T,Jimenez
1964,20,5241,250,250,"HL Mountain Frame - Black, 48",1349.6,Dean,t,,Deb,,Waldal
1970,18,14241,340,340%^&,,594.83,Anne,i,,Micheal,,Vazquez
1983,18,15182,43,547,Thin-Jam Hex Nut 16,72.8,Anne,i,,Noah,,Bryant
1989,19,4723,136,640,Lock Nut 15,548.4,Meander,m,,Dale,C,Holt
1992,20,9423,183,687,LL Road Rim,306,Dean,t,,Jenny,S,Liang
1995,20,14023,229,733,"LL Road Frame - Black, 62",337.22,Dean,t,,Melinda,T,Jimenez
2089,16,241,200,200bF?,Spokes,843.2,Sylvia,a,,,,
2114,15,19482,86,590,External Lock Washer 7,0,Michael,',O'Leary,Willie,R,Gao
2127,15,664,293,797,"Mountain-300 Black, 48",1079.99 $$,Michael,',O'Leary,,,
2140,1,1,1,11,Adjustable Race,1.6,,e,,\,,
2178,15,19482,86,590,,,,,,,,
2204,1,1,1,11,Adjustable Race,1.6$,,e,,\,,
2239,2,18182,73,577,Hex Nut 15,472.8,Reginald,l,,Tabitha,A,Gonzalez
2265,2,14000,140,140,Lock Ring,829.8,Reginald,l,,Melanie,N,Alexander
2296,2,3023,119,623,Lock Nut 16,88,Reginald,l,,Caleb,,Li
2321,13,1300,13,13**,Chain Stays,64.8,Stearns,a,MacFeather,Andrew,R,Hill
2454,15,10700,107,107WERmj,Thin-Jam Lock Nut 5,85.6,Michael,',O'Leary,Julian,,Jenkins
2511,1,1,1,11$%,Adjustable Race,1.6,,e,,\,,
2520,2,14000,140,140,Lock Ring,829.8,Reginald,l,Blotchet-Halls,Melanie,N,Alexander
2547,2,18182,73,577,Hex Nut 15,472.8,Reginald,l,Blotchet-Halls,Tabitha,A,Gonzalez
2550,2,3023,119,623,Lock Nut 16,88,Reginald,l,Blotchet-Halls,Caleb,,Li
2596,18,14241,340,340,"ML Road Frame-W - Yellow, 44",594.83 $,Anne,i,Ringer,Micheal,,Vazquez
2705,1,4700,47,47FD,Thin-Jam Hex Nut 4,441.6,,e,,Dakota,A,Russell
2766,1,4700,47,47,Thin-Jam Hex Nut 4,441.6 rs,,e,,Dakota,A,Russell
2825,1,1,1,-11,Adjustable Race,1.6,,e,,\,,
2847,18,14241,340,340^&*,"ML Road Frame-W - Yellow, 44",594.83,Anne,i,Ringer,Micheal,,Vazquez
3061,19,18941,387,387,"Short-Sleeve Classic Jersey, M",53.99,Meander,m,Smith,Tristan,,Butler
3064,19,3782,433,433,LL Mountain Tire,24.99,Meander,m,Smith,Charles,W,Watson
3068,14,10182,497,497,"Mountain-500 Black, 48",539.99,Heather,c,McBadden,Jonathan,,Butler
3077,16,4423,133,637,Lock Nut 21,90.8,Sylvia,a,Panteley,Colleen,L,Nara
3080,16,9023,179,683,Reflector,910.8,Sylvia,a,Panteley,Jarrod,,Rana
3084,11,15423,243,747,"LL Road Frame - Black, 52",337.22,Livia,a,Karsen,Pablo,,Rovira Diez
3087,11,264,289,793,,2294.99,Livia,a,Karsen,,,
3096,13,14264,429,933,"LL Mountain Frame - Black, 42",249.79,Stearns,a,MacFeather,Michele,,Raji
3100,8,905,493,997,"Mountain-500 Silver, 52",564.99,Morningstar,r,Greene,Allison,A,Allen
3109,22,13700,137,137,Lock Nut 4,183.2,Johnson,h,White,Mason,,Wright
3112,22,18300,183,183,LL Road Rim,306,Johnson,h,White,Tara,,Xie
3116,17,4941,247,247,"HL Mountain Frame - Silver, 46",$1364.5 $,Albert,i,Ringer,Danielle,J,Cooper
3119,17,9541,293,293,"Mountain-300 Black, 48",1079.99 $$,Albert,i,Ringer,Jermaine,J,Perez
3122,18,14241,340,,"ML Road Frame-W - Yellow, 44",594.83 $,Anne,i,Ringer,Micheal,,Vazquez
3161,7,15964,446,950,Touring Pedal,80.99,,r,,Randy,,Zhang
3166,7,3000,30,30,Flat Washer 7,418.8,,r,,Caitlin,A,Howard
3186,18,14241,340,,"ML Road Frame-W - Yellow, 44",594.83,Anne,i,Ringer,Micheal,,Vazquez
3192,10,3782,433,433,LL Mountain Tire,24.99,Meander,m,Smith,Charles,W,Watson
3194,7,7182,467,467,"Touring-3000 Yellow, 50",742.35,,r,,Gabrielle,,Price
3197,7,11782,9,513,Chainring Bolts,0,,r,,Krista,,Gill
3202,15,19482,86,590,External Lock Washer 7,1,Michael,',O'Leary,Willie,R,Gao
